claim_id,exact_sentence,manuscript_location,claim_type,status,raw_source,source_sha256,protocol_commit,analysis_script,analysis_script_sha256,command,analysis_unit,sample_size,estimate,interval_or_test,assumptions,limitations,prior_work_overlap,allowed_wording,forbidden_wording,machine_verified,human_verified,notes
AUTO-4071ca2226dff279,This A/A adaptation detects implementation or execution differences that an outcome check can miss.,Stages 4--6: trace repetition and source audit,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, comparative, procedural"
AUTO-41224b2e484f55e6,"Here the strongest trace-bearing record is a canonical sequence of public-observation hashes, acting side, selected action, and terminal record.",Execution repeatability,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-432b4f1a4b442705,Exact restricted gameplay regeneration consequently requires separately authorized access that this article cannot provide.,Data Availability Statement,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-4372a928455aa311,"It inventories explicit random interfaces, clock or deadline patterns, concurrency APIs, module-level state, and native pointer or handle patterns.",Stages 4--6: trace repetition and source audit,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-43b777d603b92abb,The separate diagnostic retained the two timed-search opponents rather than silently excluding them.,Timed-search stress test,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-43bdd6ebd2483efe,Validation and admission flow.,Stages 7--8: alignment and claim map — figure caption,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-45c02cc8d426f0da,The case-study seeds are also a prospectively fixed engineering battery rather than a probability sample.,Pairing-assumption validation protocol,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-47ce8722ba019a06,The equation assumes the frozen within-stratum empirical distribution is the object being resampled.,Seed-indexed descriptive contrast and reweighting,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-49ce970853b811c0,"They span zero; ``null-compatible'' is used here, if at all, only to describe that empirical reweighting sensitivity and not as a hypothesis-test result, an unresolved population effect, or evidence of equivalence.",Claim-admission consequence,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, procedural"
AUTO-49ea60991874597a,"Stage 5 prespecifies fresh serial repeats, worker counts, enqueue orders, and pool lifecycles.",Stages 4--6: trace repetition and source audit,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, procedural"
AUTO-49f20bee64800cc7,"For the case study, Level~6 may admit a bounded fixed-battery descriptive seed-matched contrast and empirical reweighting, downgrade the wording, or suppress the comparison.",Stages 7--8: alignment and claim map,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, comparative, procedural"
AUTO-4b2f65d751edc150,"The protocol records artifact and seed-boundary identity, audits every scheduled row, compares a declared trace projection in A/A and repeat/worker tests, inventories stochastic sources, and enforces a prospectively frozen claim map.",Introduction,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, comparative, procedural"
AUTO-4bc9007297c92873,No AI system is an author.,Artificial-intelligence assistance,procedural,VERIFIED_WITH_CAVEAT,paper/final_protocol/ai_disclosure.md;paper/final_protocol/supplement/AI_USE_LOG.csv,9bb6a14317cd9e5965cb4ce7fee8802625e9ed4a073a388bbcc3251b654795c3;03390b3e7e45eb1fc6c8f4d5ccfc4d0da9f07d1b25d647ea9354a4c6c5fe3738,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-4e86b2efbf3f6648,"CRN conditions, stream design, paired-seed evaluation, counter-based random access, and event-keyed randomness already cover the central stochastic-computation ingredients \cite{glasserman1992crn,lecuyer2002streams,sharma2025pairedseeds,salmon2011parallel,buffalo2026eventkeyed}.",Related work and contribution boundary,novelty,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: novelty
AUTO-4f481df694604034,"We present an executable, fail-closed protocol that validates artifact and configuration identity, the seed passed at the observable engine boundary, schedule rows, identical-arm recorded-trace projections across fresh processes and execution contexts, bounded stochastic sources, cross-arm event evidence, and a result-independent claim-admission map.",Abstract,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative, contribution, comparative, procedural"
AUTO-4f8f5a07691c7220,"Independent readers can regenerate the synthetic suite and reaggregate the included processed diagnostics, but cannot replay the restricted trajectories end to end.",Limitations,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-51951df2fda00784,"Its factorial is therefore described as descriptively seed indexed and implementation conditional, not as an inferentially paired population effect or a fully coupled counterfactual comparison.",Interpretation and permitted claims,comparative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,"Automatically added by the deterministic exhaustive prose-scope pass; matched classes: comparative, procedural"
AUTO-51e62319741d2356,All are unitless before multiplication by 100.,Secondary factorial details,quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative
AUTO-521d507bed5116d0,"These are empirical reweighting distributions over the observed batteries, not sampling distributions.",Empirical reweighting details,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-52be121e0bfc7e14,"Suppression does not delete mismatches, schedules, or diagnostics; it prevents an unsupported contrast from being promoted because it is favorable.",Interpretation and permitted claims,comparative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: comparative
AUTO-52f1a769547df60d,The output names the covered event classes and any misalignment.,Stages 7--8: alignment and claim map,procedural,VERIFIED_WITH_CAVEAT,paper/protocol/PEVL_PROSPECTIVE_PROTOCOL.md;paper/final_protocol/METHOD_ASSUMPTION_AUDIT.md,8b9329b948a054fc7252b9c2662490890e0a8439ad852393c6e25f537c8b887e;e300b25a6c693fcb858d13cc465f6e31c5cf92479ab69c5d94c6d93137cc840e,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: procedural
AUTO-541e1a49caa1854e,"Each claim is limited to the declared schedule, trace projection, execution contexts, and event ontology.","Descriptive pairing, inferential pairing, and admission — figure caption",quantitative,VERIFIED_WITH_CAVEAT,paper/final_protocol/source_data/statistics_verification.json;paper/final_protocol/source_data/build_report.json,6a8a2bbd083896bfcdb5230b03307bcfcaabe45657a87c91f608b0ef2f89f330;dbf64950a361dd7361a8eccb435fc1e83c3edceb33be6b31a5cab669d0634d32,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: quantitative
AUTO-552956c1cfd414d8,Repeats within one seed condition share the same planned inputs and are not independent observations.,Stages 4--6: trace repetition and source audit,comparative,VERIFIED_WITH_CAVEAT,paper/final_protocol/NOVELTY_AUDIT.md;paper/final_protocol/NOVELTY_MATRIX.csv;paper/final_protocol/REFERENCE_AUDIT.csv,aa6885cf2118f696caf4370af1b1ca67e99f02fb1634e2043291ccf9a986546d;69d75b44ad1bc5484a49b65666e60fb11e2ab46669c37ba26e7a3983efc03576;b3f4e50d4643cae843bd64259f62c0f2b93120474812c5c6865e647e8f6c8ec5,803257f102232763fc88d28c14b668f9b62eb277,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,The exact sentence and cited evidence-file identities are machine bound; substantive interpretation still requires corresponding-author review.,"Mechanical classification and file identity do not independently establish truth, legal authority, novelty, causality, or external validity.",Prior-work and contribution boundaries remain governed by NOVELTY_AUDIT.md and require human confirmation.,"Only the exact, qualified manuscript sentence recorded in this row.","Any stronger causal, priority, universal, public-availability, or legal conclusion.","YES — exact sentence, deterministic scope classification, and evidence-file identities checked; substantive human verification not performed",NO — corresponding-author sign-off required,Automatically added by the deterministic exhaustive prose-scope pass; matched classes: comparative
